ConsecutiveNumber,CruiseID,StationID,Net_index,Date,Longitude,Latitude,target_organisms,target_org_code,Gear,operation_mode,size_range_minimum_g,size_range_maximum_g,size_range_minimum_micrometers,size_range_maximum_micrometers,Catching_Depth_max_m,Catching_Depth_min_m,Biomass_determination,Contact_Person,filtered_volume_m3,day_night,SST,primprod,salinity,O2_dissolved,pH,chla,nitrate,silicate,SST_C_insitu,Temperature__C_insitu,Salinity_insitu,Oxygen__umol_kg_insitu,Chlorophyll__mg_m_3_insitu,Nitrate__uM_L_1_insitu,g_C_individual,5.68E-14,1.14E-13,2.27E-13,4.55E-13,9.09E-13,1.82E-12,3.64E-12,7.28E-12,1.46E-11,2.91E-11,5.82E-11,1.16E-10,2.33E-10,4.66E-10,9.31E-10,0.00000000186,0.00000000373,0.00000000745,0.0000000149,0.0000000298,0.0000000596,0.000000119,0.000000238,0.000000477,0.000000954,0.00000191,0.00000381,0.00000763,0.0000153,0.0000305,0.000061,0.000122,0.000244,0.000488,0.000977,0.00195,0.00391,0.00781,0.0156,0.0313,0.0625,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,1020,NBSS_slope,Comment
166,Abracos_2,2_50B,,2017-05-01,-32.63978,-3.81169,micronekton,2,Micro,non-closing fishing at depth,2,256,,,115,,directly weighed wet mass (formalin-preserved),Leandro N. Eduardo/Thierry Fredou,,,27,280.967804,36,4,8.21845,0.030611,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Abracos_2,2_50C,,2017-05-01,-32.6233,-3.83555,micronekton,2,Micro,non-closing fishing at depth,2,256,,,58,,directly weighed wet mass (formalin-preserved),Leandro N. Eduardo/Thierry Fredou,,,27,280.931763,36,4,8.218508,0.030723,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Abracos_2,2_52A,,2017-05-02,-33.41938,-3.72116,micronekton,2,Micro,non-closing fishing at depth,2,256,,,984,,directly weighed wet mass (formalin-preserved),Leandro N. Eduardo/Thierry Fredou,,,27,283.731781,36,4,8.206556,0.029,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Abracos_2,2_52B,,2017-05-02,-33.39149,-3.699,micronekton,2,Micro,non-closing fishing at depth,2,256,,,385,,directly weighed wet mass (formalin-preserved),Leandro N. Eduardo/Thierry Fredou,,,27,283.342804,36,4,8.207124,0.029,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Abracos_2,2_53A,,2017-05-02,-33.98809,-3.81631,micronekton,2,Micro,non-closing fishing at depth,2,256,,,610,,directly weighed wet mass (formalin-preserved),Leandro N. Eduardo/Thierry Fredou,,,27,290.131989,36,4,8.198064,0.030208,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000998803,0.005886309,0.00498229,0.002737509,0.004243204,0.002673272,0.002076302,0.001186078,0.000610556,0.0000583808,0.000142666,0,0.0000614676,0,0,0,,,-0.523247761,
171,Abracos_2,2_53B,,2017-05-02,-33.96172,-3.8298,micronekton,2,Micro,non-closing fishing at depth,2,256,,,65,,directly weighed wet mass (formalin-preserved),Leandro N. Eduardo/Thierry Fredou,,,27,289.52655,36,4,8.198486,0.03046,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000422891,0.000214829,0.000123273,0,0.0000343599,0.000319944,0.000494941,0.000168165,0.000033567,0,0,0,0,0,0,0,0,,,0.052197691,
172,Abracos_2,2_54A,,2017-05-03,-34.7274,-3.77108,micronekton,2,Micro,non-closing fishing at depth,2,256,,,95,,directly weighed wet mass (formalin-preserved),Leandro N. Eduardo/Thierry Fredou,,,27,312,36,4,8.187688,0.028723,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Abracos_2,2_54B,,2017-05-03,-34.68443,-3.75477,micronekton,2,Micro,non-closing fishing at depth,2,256,,,1030,,directly weighed wet mass (formalin-preserved),Leandro N. Eduardo/Thierry Fredou,,,27,311.761719,36,4,8.188211,0.02887,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Abracos_2,2_56A,,2017-05-04,-35.42097,-3.93378,micronekton,2,Micro,non-closing fishing at depth,2,256,,,110,,directly weighed wet mass (formalin-preserved),Leandro N. Eduardo/Thierry Fredou,,,27,362.382996,36,4,8.177423,0.027262,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Abracos_2,2_56B,,2017-05-04,-35.40597,-3.96225,micronekton,2,Micro,non-closing fishing at depth,2,256,,,260,,directly weighed wet mass (formalin-preserved),Leandro N. Eduardo/Thierry Fredou,,,27,361.919098,36,4,8.177435,0.02721,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Abracos_2,2_56C,,2017-05-04,-35.38443,-3.97971,micronekton,2,Micro,non-closing fishing at depth,2,256,,,300,,directly weighed wet mass (formalin-preserved),Leandro N. Eduardo/Thierry Fredou,,,27,361.596619,36,4,8.177526,0.027184,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Abracos_2,2_58A,,2017-05-05,-36.10386,-3.94821,micronekton,2,Micro,non-closing fishing at depth,2,256,,,520,,directly weighed wet mass (formalin-preserved),Leandro N. Eduardo/Thierry Fredou,,,27,368.178802,36,4,8.167889,0.026235,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Abracos_2,2_58B,,2017-05-05,-36.15487,-3.94856,micronekton,2,Micro,non-closing fishing at depth,2,256,,,90,,directly weighed wet mass (formalin-preserved),Leandro N. Eduardo/Thierry Fredou,,,27,367.131989,36,4,8.166902,0.026401,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Abracos_2,2_58C,,2017-05-05,-36.18288,-3.95398,micronekton,2,Micro,non-closing fishing at depth,2,256,,,90,,directly weighed wet mass (formalin-preserved),Leandro N. Eduardo/Thierry Fredou,,,27,366.800476,36,4,8.166325,0.026513,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Abracos_2,2_59A,,2017-05-05,-36.05295,-3.63379,micronekton,2,Micro,non-closing fishing at depth,2,256,,,1113,,directly weighed wet mass (formalin-preserved),Leandro N. Eduardo/Thierry Fredou,,,27,371.708771,36,4,8.169954,0.027083,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000304262,0.000351976,0.00344231,0.004796622,0.00549461,0.003055327,0.001461452,0.001532763,0.000662602,0.000584511,0,0.000279438,0,0,0,0,0,,,-0.100232312,
181,Abracos_2,2_59B,,2017-05-05,-36.03771,-3.64345,micronekton,2,Micro,non-closing fishing at depth,2,256,,,110,,directly weighed wet mass (formalin-preserved),Leandro N. Eduardo/Thierry Fredou,,,27,372.385223,36,4,8.170151,0.027081,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000211414,0.002310287,0.004568014,0.004338395,0.001772796,0.0027638,0.000608917,0.000245182,0,0,0,0,0,0,0,0,,,-0.137962283,
182,Abracos_2,2_60A,,2017-05-06,-36.38456,-3.53099,micronekton,2,Micro,non-closing fishing at depth,2,256,,,449,,directly weighed wet mass (formalin-preserved),Leandro N. Eduardo/Thierry Fredou,,,27,376.135223,36,4,8.165675,0.027024,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Abracos_2,2_60B,,2017-05-06,-36.35551,-3.5286,micronekton,2,Micro,non-closing fishing at depth,2,256,,,700,,directly weighed wet mass (formalin-preserved),Leandro N. Eduardo/Thierry Fredou,,,27,377.009247,36,4,8.165995,0.027044,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,M129,T-7-1,,2016-08-16,-19.3,14.19,invmicronekton,2,RMT,double oblique,0.125,16,,,666,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,,25,1216,35,4,8.194234,0.081759,2,2.008317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.00373375,0.00361707,0.01410116,0.01056735,0.01866063,0.01263658,0.01345588,0.00289232,0.00082517,0.00100814,0.00011249,0.0001989,0,0,,,,,,,,,,,,,
185,M129,T-7-4,,2016-08-17,-18.04,14.19,invmicronekton,2,RMT,double oblique,0.125,16,,,666,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,,24.010595,1515.94568,35,4,8.202098,0.108517,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.00228885,0.00541918,0.01512436,0.02037607,0.01090087,0.01579396,0.01631105,0.00651949,0.00477159,0.00127414,0.00114551,0,0,,,,,,,,,,,,,
#REF!,M129,T-8-4,,2016-08-19,-17.52,13.4,invmicronekton,2,RMT,double oblique,0.125,16,,,670,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,,24.111443,1818.58032,35,4,8.210447,0.159956,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.00484324,0.0041431,0.01434881,0.00831677,0.01112592,0.01126883,0.00731016,0.00099533,0.00116162,0.0000358,0,,,,,,,,,,,,,
#REF!,M129,T-9-2,,2016-08-20,-19,13,invmicronekton,2,RMT,double oblique,0.125,16,,,667,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,,25,825.279053,35,4,8.201659,0.095115,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00085037,0,0,0.00438104,0.00544339,0.00853011,0.00512458,0.00664204,0.00594282,0.00442479,0.00185528,0.00311732,0.00095091,0.000037,0,,,,,,,,,,,,,
#REF!,M129,T-9-3,,2016-08-20,-18.3,13,micronekton,2,RMT,double oblique,0.125,16,,,666,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,,25,1084.31335,35,4,8.206347,0.103578,1,2.940271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M129,T-10-4,,2016-08-22,-17.58,12.3,micronekton,2,RMT,double oblique,0.125,16,,,666,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,,25,1424.62183,35,4,8.216797,0.169148,1,2.989219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M129,T-10-3,,2016-08-22,-18.3,12.3,micronekton,2,RMT,double oblique,0.125,16,,,667,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,,25,832,35,4,8.210003,0.09552,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M129,T-1-3,,2016-08-04,-19.5,19.48,micronekton,2,RMT,double oblique,0.125,16,,,668,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,,22,1998.7168,36,5,8.172036,0.106647,3.961843,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M129,T-1-5,,2016-08-05,-18.17,20.08,micronekton,2,RMT,double oblique,0.125,16,,,668,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,,21,2670.13037,35,5,8.184371,0.18855,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M129,T-3-3,,2016-08-08,-18.17,19.67,micronekton,2,RMT,double oblique,0.125,16,,,666,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,,21.261625,2637.5144,35,5,8.183421,0.169906,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M129,T-3-5,,2016-08-08,-17.63,19.67,micronekton,2,RMT,double oblique,0.125,16,,,533,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,,21,3018.77783,35,4.835159,8.190724,0.194912,5.653769,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M129,T-4-2,,2016-08-11,-18.5,19.32,micronekton,2,RMT,double oblique,0.125,16,,,668,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,,22,2759.54468,35,5,8.180002,0.139168,4.896439,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M129,T-5-1,,2016-08-11,-19,18.67,micronekton,2,RMT,double oblique,0.125,16,,,668,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,,22,2302.1582,35.102585,5,8.175608,0.112989,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M129,T-5-3,,2016-08-12,-18,18.67,micronekton,2,RMT,double oblique,0.125,16,,,666,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,,22,2500.99268,35,5,8.186221,0.141717,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M129,T-6-4,,2016-08-14,-17.17,17.67,micronekton,2,RMT,double oblique,0.125,16,,,666,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,,23,2664.59082,35,5,8.199209,0.15838,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M129,T-6-3,,2016-08-14,-17.67,17.67,micronekton,2,RMT,double oblique,0.125,16,,,666,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,,23,2423.08374,35,5,8.19247,0.133003,4.251929,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M129,T-6-1,,2016-08-15,-19,17.67,micronekton,2,RMT,double oblique,0.125,16,,,666,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,,23,1849.97327,35,5,8.178328,0.114445,3.330853,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,M153,16,,2019-02-21,16,-32.03,totmicronekton,2,RMT,double oblique,0.125,16,,,500,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,night,17.809671,1086.24561,35,5,8.218192,0.07165,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00228539,0.00145668,0.00120703,0.00401487,0.00205955,0.03958097,0.07389653,0.06738996,0.19365642,0.06660239,0.00721957,0.00084912,0.00071754,0.00083499,0.00022813,0.00021573,0.00025025,0.00043803,0.0000459,0,0,,,,,,,,,SBUS deep
#REF!,M153,25,,2019-02-27,14.33,-30.04,totmicronekton,2,RMT,double oblique,0.125,16,,,500,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,night,18,915.761292,35,5,8.2068,0.061327,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04651388,0.11628469,0,0.1017491,0.00080911,0.00068175,0,0.00653281,0.00512981,0.00850447,0.00741648,0.00048005,0.00093482,0.00039269,0.00032438,0.00013196,0.0000945,0,0,0,0,NA,0,0,0,0,0,,,-0.183692293,SBUS deep
#REF!,M153,31,,2019-03-02,13.97,-23.06,totmicronekton,2,RMT,double oblique,0.125,16,,,123,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,night,15.03065,2501.31567,35,5.024136,8.195,0.238058,4,7.903543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.34129763,0,0,0.8423786,0.9912695,1.03280879,0.21520189,0.00055644,0.00054352,0,0.00034597,0.00026684,0,0,0,0.00012474,0,0.00011491,0,0,0,0,0,0,,,-0.821161646,NBUS shallow
#REF!,M153,32,,2019-03-03,13.56,-22.94,totmicronekton,2,RMT,double oblique,0.125,16,,,134,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,night,16,1951.66956,35,5,8.194049,0.179124,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.00090506,0.00123136,0.0017913,0.00360604,0.00234576,0.0215561,0.06558846,0.00151787,0.00072097,0,0,0.00121317,0,0.00017466,0.00034452,0,0,0,0,0,0,0,,,-0.490728729,NBUS shallow
#REF!,M153,34,,2019-03-03,12.66,-23.06,totmicronekton,2,RMT,double oblique,0.125,16,,,500,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,night,17,1271.32568,35,5,8.193984,0.120858,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.00302377,0.01037933,0.01442801,0.02833464,0.01967904,0.01217136,0.08830358,0.28263059,0.06904414,0.00092147,0.00075192,0.00286874,0.00225493,0.00112544,0.00103782,0.00055616,0.00020488,0.0000562,0.0000358,0,0,0,0,0,0,,,-0.609230643,NBUS deep
#REF!,M153,38,,2019-03-06,11.5,-21.05,totmicronekton,2,RMT,double oblique,0.125,16,,,500,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,night,18,1733.73938,35,5,8.194,0.122494,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.00056153,0.00182496,0.00051473,0.00451547,0.01047812,0.01942366,0.00576148,0.00043639,0.00291088,0.00071293,0.00058724,0.00033165,0.00067197,0.00055381,0.0000476,0.00011617,0,0,0.0000415,0,0,0,0,0,,,-0.485639534,NBUS deep
,,40,,,,,totmicronekton,2,RMT,double oblique,0.125,16,,,,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0.00410411,0.01887992,0.0154426,0.01416373,0.00341449,0.000047,0,0,0,0,0,0,0,0.0000543,NA,,,,,,,,,NBUS shallow
#REF!,M153,45,,2019-03-09,11.83,-20.02,totmicronekton,2,RMT,double oblique,0.125,16,,,407,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,night,17.96517,1997.69934,35,5,8.195038,0.164754,5,5.164633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.04064051,0.03089879,0.10112681,0.00600417,0.01057169,0.00218146,0.00177149,0.0008927,0.00021937,0,0,0,0,0,0,0,0,0,,,-0.679095499,NBUS shallow
#REF!,M153,46,,2019-03-10,11.42,-19.91,totmicronekton,2,RMT,double oblique,0.125,16,,,500,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,night,18,1954.31494,35,5,8.195074,0.152227,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0.12674217,0.28748089,0.39810547,0.0431395,0.00289238,0.00545145,0.00491873,0.00177731,0.00115805,0.00056196,0.0000869,0.0000472,0,0,0,0,0,0,0,,,-1.000370041,NBUS deep
#REF!,M153,49,,2019-03-10,12.59,-21.69,totmicronekton,2,RMT,double oblique,0.125,16,,,500,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,night,17,1816.44214,35,5,8.194,0.159747,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0.06924396,0.09297079,0.75112034,0.25904267,0.00174159,0.00446023,0.00255231,0.00812416,0.00175987,0.00037656,0.00030905,0,0,0,0,0,0,0,0,,,-0.98533356,NBUS deep
#REF!,M153,18_8,,2019-02-24,15.19,-31.08,totmicronekton,2,RMT,double oblique,0.125,16,,,500,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,night,17.989681,800.40033,35,5,8.21279,0.066019,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.07179626,0.1706669,0.24656686,0.04709511,0.01018866,0.00044394,0.00046387,0.0000671,0.00020614,0.00011537,0.0000694,0,0,0,0,0,,,,,,,,,SBUS deep
#REF!,M153,18_9_1,,2019-02-25,15.13,-31.02,totmicronekton,2,RMT,double oblique,0.125,16,,,500,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,night,17.981293,879.523315,35,5,8.21221,0.065717,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.04304508,0.06544509,0.06095329,0.14260735,0.1791736,0.05116336,0.04437684,0.00433439,0.00428032,0.00338759,0.00184833,0.00055668,0.00011737,0,0,0,0,0,,,,,,,,,SBUS deep
#REF!,M153,35_5_1,,2019-02-25,15.08,-31.04,totmicronekton,2,RMT,double oblique,0.125,16,,,101,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,night,18,849.987061,35,5,8.212207,0.064097,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.00539691,0.0842921,0.21532497,0.00033338,0.21044239,0.10875844,0.01736242,0.00268744,0.00870172,0.0445794,0.00075489,0.00077116,0.00031444,0.00016234,0,0,0,,,,,,,,,NBUS deep
#REF!,WHIII383,2015_306_N1,,2015-03-23,-19.9169483,10.5942167,mesopelagic fish,1,Aalnetz,multiple opening-closing devices,1,64,,,76,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,,26,677.944702,35,4,8.206734,0.04861,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0000816,0.000217214,0.001522097,0.003051669,0.001624031,0.000843991,0.000213855,0.0000177,0.00000162,0,0,0,0,0,0,0,,,,,
#REF!,WHIII383,2015_306_N2,,2015-03-23,-19.9169483,10.5942167,mesopelagic fish,1,Aalnetz,multiple opening-closing devices,1,64,,,195,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,,26,677.944702,35,4,8.206734,0.04861,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00000193,0.00000463,0.00000666,0.0000339,0.00015226,0.000157245,0.000138271,0.000139677,0.0000394,0.00000127,0,0.00000114,0,0,0,0,0,,,,,
#REF!,WHIII383,2015_306_N3,,2015-03-24,-19.9169483,10.5942167,mesopelagic fish,1,Aalnetz,multiple opening-closing devices,1,64,,,435,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,,26,677.944702,35,4,8.206734,0.04861,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0.000017,0.0000752,0.000177238,0.000248404,0.000163862,0.0000918,0.0000133,0.00000313,0,0.00000199,0,0,0,0,,,,,
#REF!,WHIII383,2015_309_N1,,2015-03-24,-20.6034,9.56233333,mesopelagic fish,1,Aalnetz,multiple opening-closing devices,1,64,,,381,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,,26,478.30069,35,4,8.20693,0.042924,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,WHIII383,2015_309_N2,,2015-03-24,-20.6034,9.56233333,mesopelagic fish,1,Aalnetz,multiple opening-closing devices,1,64,,,424,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,,26,478.30069,35,4,8.20693,0.042924,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,WHIII383,2015_309_N3,,2015-03-24,-20.6034,9.56233333,mesopelagic fish,1,Aalnetz,multiple opening-closing devices,1,64,,,556,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,,26,478.30069,35,4,8.20693,0.042924,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,WHIII383,2015_311_N1,,2015-03-24,-20.5865933,9.54316667,mesopelagic fish,1,Aalnetz,multiple opening-closing devices,1,64,,,79,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,,26,478.102753,35,4,8.207087,0.042837,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.00000161,0.000403456,0.000546702,0.003746558,0.009745831,0.00395349,0.002746382,0.001251679,0.000581761,0.00000474,0.00000165,0,0,0,0,0,0.00000106,,,,,,
#REF!,WHIII383,2015_311_N2,,2015-03-24,-20.5865933,9.54316667,mesopelagic fish,1,Aalnetz,multiple opening-closing devices,1,64,,,288,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,,26,478.102753,35,4,8.207087,0.042837,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00000148,0.00000988,0.0000327,0.0000591,0.000099,0.000385274,0.000177284,0.000186001,0.0000921,0.00000632,0.00000281,0.00000215,0,0,0,0.00000103,,,,,,
#REF!,WHIII383,2015_311_N3,,2015-03-25,-20.5865933,9.54316667,mesopelagic fish,1,Aalnetz,multiple opening-closing devices,1,64,,,441,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,,26,478.102753,35,4,8.207087,0.042837,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0000196,0.0000172,0.0000621,0.000354271,0.001292643,0.001786292,0.000789783,0.00051468,0.0000819,0.0000137,0.0000095,0.00000654,0.00000133,0,0,0,,,,,,
#REF!,WHIII383,2015_315_N1,,2015-03-25,-21.5747833,8.4795,mesopelagic fish,1,Aalnetz,multiple opening-closing devices,1,64,,,81,,directly weighed wet mass (formalin-preserved),Henrike Andresen/Heino Fock,,,27,461.207977,35,4,8.207893,0.037985,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0000018,0.00000309,0.00000124,0.00000465,0.0000126,0.00018046,0.000238276,0.000255184,0.0000542,0.0000319,0.00000253,0.00000235,0,0,0,0,0,0,,,,,,
