"","ConsecutiveNumber","CruiseID","StationID","Net_index","Date","Longitude","Latitude","target_organisms","target_org_code","Gear","operation_mode","size_range_minimum_g","size_range_maximum_g","size_range_minimum_micrometers","size_range_maximum_micrometers","Catching_Depth_max_m","Catching_Depth_min_m","Biomass_determination","Contact_Person","filtered_volume_m3","day_night","SST","primprod","salinity","O2_dissolved","pH","chla","nitrate","silicate","SST_C_insitu","Temperature__C_insitu","Salinity_insitu","Oxygen__umol_kg_insitu","Chlorophyll__mg_m_3_insitu","Nitrate__uM_L_1_insitu","g_C_individual","X5.68E.14","X1.14E.13","X2.27E.13","X4.55E.13","X9.09E.13","X1.82E.12","X3.64E.12","X7.28E.12","X1.46E.11","X2.91E.11","X5.82E.11","X1.16E.10","X2.33E.10","X4.66E.10","X9.31E.10","X0.00000000186","X0.00000000373","X0.00000000745","X0.0000000149","X0.0000000298","X0.0000000596","X0.000000119","X0.000000238","X0.000000477","X0.000000954","X0.00000191","X0.00000381","X0.00000763","X0.0000153","X0.0000305","X0.000061","X0.000122","X0.000244","X0.000488","X0.000977","X0.00195","X0.00391","X0.00781","X0.0156","X0.0313","X0.0625","X0.125","X0.25","X0.5","X1","X2","X4","X8","X16","X32","X64","X128","X256","X512","X1020","NBSS_slope","Comment","Old_target_organisms","OKtarget_organisms","target_target_org_code_code","log10_1X_chla_insitu","target.org.colour","target_organisms_UVP_NET","slope.clean","new_slopes","rob_reg__slopes","p_values_olsr_slopes","r.square.olsr","ratio_slopes_rr_olsr"
"569","#REF!","AMT3","AMT3_110","","1996-09-26",-20.0155,38.1715,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,80,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",18,335.721741,36,"5",8.238,0.040319,1,1,11.59,11.59,NA,NA,0.37,4.36,"gC m-3",NA,NA,NA,NA,NA,NA,3520000,3.95e+08,497000,1430000,1720000,656000,798000,252000,NA,21100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.240628517,"","Phytoplankton","phytoplankton","4",0.136720567156407,"forestgreen","phytoplankton",-1.240628517,-0.972273103984737,-0.812111539885893,0.018920354139506,0.568562678642086,0.835271012391023
"571","#REF!","AMT3","AMT3_112","","1996-09-27",-21.2575,34.0365,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,80,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",20,298.180237,36,"5",8.247198,0.032026,0,1,11.59,11.59,NA,NA,0.31,0.16,"gC m-3",NA,NA,NA,NA,NA,NA,2.1e+07,5.55e+08,7660000,2560000,9100000,8e+05,1520000,301000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.732208447,"","Phytoplankton","phytoplankton","4",0.117271295655764,"forestgreen","phytoplankton",-0.732208447,-1.11197269859743,-0.968930979711107,0.0144202344519975,0.658876507352834,0.871362202447284
"573","#REF!","AMT3","AMT3_114","","1996-09-28",-21.8104,29.4997,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,110,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",21,263.21283,36,"5",8.23394,0.028,0,1,11.59,11.59,NA,NA,0.33,1.72,"gC m-3",NA,NA,NA,NA,NA,NA,7120000,2.1e+08,766000,742000,2610000,480000,296000,275000,34700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.17504568,"","Phytoplankton","phytoplankton","4",0.123851640967086,"forestgreen","phytoplankton",-1.17504568,-1.04750733496094,-0.898555116656859,0.00835752713687326,0.653520599064956,0.857803173941847
"574","#REF!","AMT3","AMT3_115","","1996-09-29",-21.4077,24.6837,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,7,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",22,374.275818,36.028446,"5",8.221829,0.033213,1,1,24.74,24.74,NA,NA,0.2,NA,"gC m-3",NA,NA,NA,NA,NA,NA,9450000,7.75e+08,580000,4600000,4080000,1730000,2060000,351000,463000,21100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.170677198,"","Phytoplankton","phytoplankton","4",0.0791812460476248,"forestgreen","phytoplankton",-1.170677198,-0.985725641004705,-0.895598641822305,0.0106791875775615,0.578148300919781,0.908567865709025
"575","#REF!","AMT3","AMT3_116","","1996-09-29",-21.4077,24.6837,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,40,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",22,374.275818,36.028446,"5",8.221829,0.033213,1,1,24.74,24.46,NA,NA,0.18,NA,"gC m-3",NA,NA,NA,NA,NA,NA,5740000,5.81e+08,NA,381000,2230000,1470000,674000,125000,69300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.177620887,"","Phytoplankton","phytoplankton","4",0.0718820073061254,"forestgreen","phytoplankton",-1.177620887,-1.12406923825071,-0.893973292058109,0.0229359986599118,0.605628530081166,0.795300913535645
"578","#REF!","AMT3","AMT3_119","","1996-09-30",-20.6478,20.0864,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,20,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",22,1141.35742,36,"5",8.174784,0.088363,3,2,24.77,24.63,NA,NA,0.39,NA,"gC m-3",NA,NA,NA,NA,NA,NA,9.04e+08,4.71e+08,7450000,7250000,7.65e+08,1070000,6740000,628000,11400000,21100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.163788337,"","Phytoplankton","phytoplankton","4",0.143014800254095,"forestgreen","phytoplankton",-1.163788337,-1.23492485525622,-1.23103741042918,0.0109126823204732,0.57600449272606,0.996852079856928
"580","#REF!","AMT3","AMT3_121","","1996-10-02",-20.5364,12.766,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,7,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",25,753.187561,35,"4",8.196823,0.056699,1,2,28.38,28.38,NA,NA,0.2,NA,"gC m-3",NA,NA,NA,NA,NA,NA,8460000,2.79e+08,972000,1440000,1960000,1100000,1450000,125000,46300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.394572177,"","Phytoplankton","phytoplankton","4",0.0791812460476248,"forestgreen","phytoplankton",-1.394572177,-1.04483679231588,-0.899329804723613,0.0093274480852732,0.643071133189162,0.860737113525881
"581","#REF!","AMT3","AMT3_122","","1996-10-02",-20.5364,12.766,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,20,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",25,753.187561,35,"4",8.196823,0.056699,1,2,28.38,28.34,NA,NA,0.23,NA,"gC m-3",NA,NA,NA,NA,NA,NA,15100000,4.06e+08,1280000,1670000,5520000,957000,652000,226000,23100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.32943707,"","Phytoplankton","phytoplankton","4",0.0899051114393979,"forestgreen","phytoplankton",-1.32943707,-1.21039619804679,-1.08570834476073,0.00469479243131376,0.703883654355827,0.896985917927311
"582","#REF!","AMT3","AMT3_123","","1996-10-02",-20.5364,12.766,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,40,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",25,753.187561,35,"4",8.196823,0.056699,1,2,28.38,21.46,NA,NA,0.37,1.07,"gC m-3",NA,NA,NA,NA,NA,NA,22100000,8.27e+08,5030000,3780000,7510000,672000,2190000,576000,463000,21100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.222943258,"","Phytoplankton","phytoplankton","4",0.136720567156407,"forestgreen","phytoplankton",-1.222943258,-1.13599989434231,-1.0519316527754,0.00157182088637374,0.732874909281409,0.925996259343326
"583","#REF!","AMT3","AMT3_124","","1996-10-03",-22.2774,9.0621,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,7,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",26.315046,469.966278,35,"4",8.205117,0.03717,0,2,28.22,28.22,NA,NA,0.25,NA,"gC m-3",NA,NA,NA,NA,NA,NA,7010000,3.98e+08,1240000,797000,2530000,384000,931000,477000,NA,21100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.276207987,"","Phytoplankton","phytoplankton","4",0.0969100130080564,"forestgreen","phytoplankton",-1.276207987,-1.02492249594348,-0.894611528380984,0.011456551413751,0.6227201368746,0.872857735020693
"585","#REF!","AMT3","AMT3_126","","1996-10-03",-22.2774,9.0621,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,50,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",26.315046,469.966278,35,"4",8.205117,0.03717,0,2,28.22,19.13,NA,NA,0.65,6.14,"gC m-3",NA,NA,NA,NA,NA,NA,28800000,8.92e+08,6260000,1920000,7110000,624000,1220000,275000,127000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.164396347,"","Phytoplankton","phytoplankton","4",0.217483944213906,"forestgreen","phytoplankton",-1.164396347,-1.21081113979074,-1.0454711633835,0.00336682454825898,0.729699682928918,0.863446931586858
"586","#REF!","AMT3","AMT3_127","","1996-10-04",-24.0138,5.1763,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,7,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,389.236877,35,"4",8.244993,0.034479,0,2,28.42,28.42,NA,NA,0.21,NA,"gC m-3",NA,NA,NA,NA,NA,NA,6620000,4.37e+08,1390000,1980000,1900000,656000,708000,327000,46300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.246309749,"","Phytoplankton","phytoplankton","4",0.0827853703164501,"forestgreen","phytoplankton",-1.246309749,-1.05590718227609,-0.850229326371263,0.00950321688610149,0.641265759521378,0.805212182133783
"587","#REF!","AMT3","AMT3_128","","1996-10-04",-24.0138,5.1763,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,40,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,389.236877,35,"4",8.244993,0.034479,0,2,28.42,28.02,NA,NA,0.34,NA,"gC m-3",NA,NA,NA,NA,NA,NA,7580000,3.43e+08,2360000,2390000,2850000,4e+05,635000,100000,139000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.367120482,"","Phytoplankton","phytoplankton","4",0.127104798364808,"forestgreen","phytoplankton",-1.367120482,-1.07824480288313,-0.917838164872957,0.00527571987083916,0.694285576279008,0.851233562562735
"588","#REF!","AMT3","AMT3_129","","1996-10-04",-24.0138,5.1763,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,70,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,389.236877,35,"4",8.244993,0.034479,0,2,28.42,25.11,NA,NA,0.63,0.83,"gC m-3",NA,NA,NA,NA,NA,NA,10600000,3.93e+08,1570000,419000,4220000,688000,901000,351000,34700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.254886645,"","Phytoplankton","phytoplankton","4",0.212187604403958,"forestgreen","phytoplankton",-1.254886645,-1.07191354996228,-0.955230329200344,0.0134503626876517,0.606108089184368,0.891144933501357
"589","#REF!","AMT3","AMT3_130","","1996-10-05",-25.7758,1.3067,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,7,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,428,35,"4",8.224068,0.040066,0,1,26.88,26.88,NA,NA,0.23,NA,"gC m-3",NA,NA,NA,NA,NA,NA,5140000,2.91e+08,3140000,4540000,2080000,1410000,1240000,402000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.255882789,"","Phytoplankton","phytoplankton","4",0.0899051114393979,"forestgreen","phytoplankton",-1.255882789,-0.830126332510235,-0.572132916110195,0.042868293557479,0.522185776633582,0.689211862946343
"590","#REF!","AMT3","AMT3_131","","1996-10-05",-25.7758,1.3067,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,40,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,428,35,"4",8.224068,0.040066,0,1,26.88,26.87,NA,NA,0.25,NA,"gC m-3",NA,NA,NA,NA,NA,NA,13100000,3.87e+08,2900000,8760000,2180000,1820000,652000,25200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.41259348,"","Phytoplankton","phytoplankton","4",0.0969100130080564,"forestgreen","phytoplankton",-1.41259348,-1.34896317230035,-1.32256443584229,0.00964956222076586,0.699545929426901,0.980430350509092
"591","#REF!","AMT3","AMT3_132","","1996-10-05",-25.7758,1.3067,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,50,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,428,35,"4",8.224068,0.040066,0,1,26.88,26.76,NA,NA,0.41,NA,"gC m-3",NA,NA,NA,NA,NA,NA,1e+07,4.43e+08,2400000,4430000,4030000,464000,1190000,50100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.333534154,"","Phytoplankton","phytoplankton","4",0.14921911265538,"forestgreen","phytoplankton",-1.333534154,-1.23189273135888,-1.1682971636371,0.0170185580053159,0.640669349066824,0.948375726146524
"592","#REF!","AMT3","AMT3_133","","1996-10-05",-25.7758,1.3067,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,70,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,428,35,"4",8.224068,0.040066,0,1,26.88,25.73,NA,NA,0.55,0.04,"gC m-3",NA,NA,NA,NA,NA,NA,11100000,4.19e+08,2110000,2270000,2850000,416000,858000,376000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.723867501,"","Phytoplankton","phytoplankton","4",0.190331698170291,"forestgreen","phytoplankton",-0.723867501,-1.0186865167047,-0.760722476386745,0.028134344194919,0.579902263595164,0.746767983979577
"593","#REF!","AMT3","AMT3_134","","1996-10-05",-25.7758,1.3067,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,80,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,428,35,"4",8.224068,0.040066,0,1,26.88,23.04,NA,NA,0.81,1.51,"gC m-3",NA,NA,NA,NA,NA,NA,1.3e+07,6.23e+08,2190000,2280000,2680000,1680000,1490000,327000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.33250353,"","Phytoplankton","phytoplankton","4",0.257678574869184,"forestgreen","phytoplankton",-1.33250353,-0.972475392524281,-0.688254214868993,0.0394152525619281,0.534210013025913,0.707734324343645
"595","#REF!","AMT3","AMT3_136","","1996-10-06",-27.4529,-2.3717,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,7,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,366.803864,36,"4",8.240563,0.033626,0,1,26.33,26.33,NA,NA,0.19,NA,"gC m-3",NA,NA,NA,NA,NA,NA,56900000,3.76e+08,1160000,8800000,1370000,940000,562000,327000,23100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.284993366,"","Phytoplankton","phytoplankton","4",0.0755469613925307,"forestgreen","phytoplankton",-1.284993366,-1.34867244111744,-1.31761806583485,0.0014106355578146,0.787476028396821,0.976974115926288
"596","#REF!","AMT3","AMT3_137","","1996-10-06",-27.4529,-2.3717,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,40,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,366.803864,36,"4",8.240563,0.033626,0,1,26.33,26.32,NA,NA,0.22,NA,"gC m-3",NA,NA,NA,NA,NA,NA,57100000,2.25e+08,1320000,4300000,2230000,656000,858000,75300,23100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.387290555,"","Phytoplankton","phytoplankton","4",0.0863598306747482,"forestgreen","phytoplankton",-1.387290555,-1.39518359083839,-1.40085413985192,0.000511120315081705,0.839881742277535,1.00406437478965
"597","#REF!","AMT3","AMT3_138","","1996-10-06",-27.4529,-2.3717,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,85,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,366.803864,36,"4",8.240563,0.033626,0,1,26.33,25.85,NA,NA,0.45,1.52,"gC m-3",NA,NA,NA,NA,NA,NA,34100000,4.18e+08,745000,3950000,2790000,656000,1000000,125000,23100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.362352162,"","Phytoplankton","phytoplankton","4",0.161368002234975,"forestgreen","phytoplankton",-1.362352162,-1.31681261374081,-1.26906033426606,0.00285960145294858,0.741581166489179,0.963736465631887
"599","#REF!","AMT3","AMT3_140","","1996-10-07",-29.2694,-6.4773,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,50,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,267.319489,36,"4",8.251627,0.027,0,1,26.62,26.59,NA,NA,0.18,NA,"gC m-3",NA,NA,NA,NA,NA,NA,2120000,2.09e+08,745000,3010000,1060000,991000,355000,25200,23100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.379986916,"","Phytoplankton","phytoplankton","4",0.0718820073061254,"forestgreen","phytoplankton",-1.379986916,-1.14854714093206,-1.04597606945803,0.009186654975823,0.644535777097328,0.910694939877879
"600","#REF!","AMT3","AMT3_141","","1996-10-07",-29.2694,-6.4773,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,110,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,267.319489,36,"4",8.251627,0.027,0,1,26.62,22.63,NA,NA,0.49,0.43,"gC m-3",NA,NA,NA,NA,NA,NA,8270000,3.39e+08,828000,2130000,1800000,512000,944000,151000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.263413574,"","Phytoplankton","phytoplankton","4",0.173186268412274,"forestgreen","phytoplankton",-1.263413574,-1.01468534519333,-0.779660343669172,0.0366616767254146,0.544371227729676,0.768376469969241
"602","#REF!","AMT3","AMT3_143","","1996-10-08",-31.2473,-10.7686,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,75,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",27,194,36,"4",8.202973,0.023998,0,2,26.2,25.25,NA,NA,0.17,0.03,"gC m-3",NA,NA,NA,NA,NA,NA,2050000,2.96e+08,621000,2990000,1200000,95700,96100,1980000,23100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.275956435,"","Phytoplankton","phytoplankton","4",0.0681858617461616,"forestgreen","phytoplankton",-1.275956435,-0.965307833387363,-0.904596986003033,0.0487616696687184,0.44761800819583,0.937107267459656
"606","#REF!","AMT3","AMT3_147","","1996-10-09",-33.1213,-14.8892,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,140,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",26,166.938873,37,"4",8.159341,0.022546,0,2,26.02,22.59,NA,NA,0.39,0.02,"gC m-3",NA,NA,NA,NA,NA,NA,6430000,1.75e+08,766000,114000,1070000,NA,370000,50100,23100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.234149411,"","Phytoplankton","phytoplankton","4",0.143014800254095,"forestgreen","phytoplankton",-1.234149411,-1.14372086110054,-1.01381578833686,0.0172579848702735,0.639094061248773,0.88641890064095
"607","#REF!","AMT3","AMT3_148","","1996-10-10",-35.0487,-18.8563,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,7,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",26,186.79425,37,"4",8.128635,0.025734,0,2,24.65,24.65,NA,NA,0.15,NA,"gC m-3",NA,NA,NA,NA,NA,NA,5330000,2.92e+08,1410000,8630000,1480000,768000,273000,100000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.279993676,"","Phytoplankton","phytoplankton","4",0.0606978403536116,"forestgreen","phytoplankton",-1.279993676,-1.13921765261965,-0.995547071869416,0.0196143836750418,0.624367099147684,0.873886627002431
"608","#REF!","AMT3","AMT3_149","","1996-10-10",-35.0487,-18.8563,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,50,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",26,186.79425,37,"4",8.128635,0.025734,0,2,24.65,23.96,NA,NA,0.15,NA,"gC m-3",NA,NA,NA,NA,NA,NA,2910000,3.54e+08,1080000,8630000,1270000,320000,370000,151000,23100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.301914225,"","Phytoplankton","phytoplankton","4",0.0606978403536116,"forestgreen","phytoplankton",-1.301914225,-1.15602953921817,-1.01388580039711,0.00952720270087146,0.641021343271239,0.877041430172109
"609","#REF!","AMT3","AMT3_150","","1996-10-10",-35.0487,-18.8563,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,75,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",26,186.79425,37,"4",8.128635,0.025734,0,2,24.65,23.69,NA,NA,0.2,NA,"gC m-3",NA,NA,NA,NA,NA,NA,10300000,3.18e+08,1180000,20100000,5210000,304000,296000,151000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.282345202,"","Phytoplankton","phytoplankton","4",0.0791812460476248,"forestgreen","phytoplankton",-1.282345202,-1.20064295263329,-1.19233858574608,0.0219917793415587,0.610744764971152,0.993083400132404
"610","#REF!","AMT3","AMT3_151","","1996-10-10",-35.0487,-18.8563,"phytoplankton",4,"Niskin Bottles","",NA,NA,5,150,100,NA,"Estimated from Biovolume","Cristina Gonz�lez",NA,"",26,186.79425,37,"4",8.128635,0.025734,0,2,24.65,23.48,NA,NA,0.26,NA,"gC m-3",NA,NA,NA,NA,NA,NA,1460000,1.95e+08,497000,15800000,915000,144000,377000,75300,11500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.28040082,"","Phytoplankton","phytoplankton","4",0.100370545117563,"forestgreen","phytoplankton",-1.28040082,-1.15947167443975,-1.05700050183364,0.0171128649029287,0.579929810120218,0.911622530446357
